State,2019,2018,2017,2016,2015,5-Year total
Alabama,768.00,775.00,835.00,756.00,736.00,3870.00
Alaska,132.00,110.00,147.00,128.00,122.00,639.00
Arizona,1907.00,1670.00,1532.00,1382.00,1274.00,7765.00
Arkansas,388.00,444.00,446.00,401.00,392.00,2071.00
California,6198.00,5348.00,4868.00,4654.00,4659.00,25727.00
Colorado,1079.00,995.00,1015.00,942.00,869.00,4900.00
Connecticut,1214.00,1069.00,1072.00,971.00,800.00,5126.00
Delaware,435.00,401.00,338.00,282.00,198.00,1654.00
Florida,5268.00,4698.00,5088.00,4728.00,3228.00,23010.00
Georgia,1408.00,1404.00,1537.00,1394.00,1302.00,7045.00
Hawaii,242.00,213.00,203.00,191.00,169.00,1018.00
Idaho,265.00,250.00,236.00,243.00,218.00,1212.00
Illinois,2790.00,2722.00,2778.00,2411.00,1835.00,12536.00
Indiana,1699.00,1629.00,1852.00,1526.00,1245.00,7951.00
Iowa,352.00,287.00,341.00,314.00,309.00,1603.00
Kansas,403.00,345.00,333.00,313.00,329.00,1723.00
Kentucky,1380.00,1315.00,1566.00,1419.00,1273.00,6953.00
Louisiana,1267.00,1140.00,1108.00,996.00,861.00,5372.00
Maine,371.00,345.00,424.00,353.00,269.00,1762.00
Maryland,2369.00,2324.00,2247.00,2044.00,1285.00,10269.00
Massachusetts,2210.00,2241.00,2168.00,2227.00,1724.00,10570.00
Michigan,2385.00,2591.00,2694.00,2347.00,1980.00,11997.00
Minnesota,792.00,636.00,733.00,672.00,581.00,3414.00
Mississippi,394.00,310.00,354.00,352.00,351.00,1761.00
Missouri,1583.00,1610.00,1367.00,1371.00,1066.00,6997.00
Montana,143.00,125.00,119.00,119.00,138.00,644.00
Nebraska,161.00,138.00,152.00,120.00,126.00,697.00
Nevada,647.00,688.00,676.00,665.00,619.00,3295.00
New Hampshire,407.00,452.00,467.00,481.00,422.00,2229.00
New Jersey,2805.00,2900.00,2685.00,2056.00,1454.00,11900.00
New Mexico,599.00,537.00,493.00,500.00,501.00,2630.00
New York,3617.00,3697.00,3921.00,3638.00,2754.00,17627.00
North Carolina,2266.00,2259.00,2414.00,1956.00,1567.00,10462.00
North Dakota,82.00,70.00,68.00,77.00,61.00,358.00
Ohio,4251.00,3980.00,5111.00,4329.00,3310.00,20981.00
Oklahoma,645.00,716.00,775.00,813.00,725.00,3674.00
Oregon,615.00,547.00,530.00,506.00,505.00,2703.00
Pennsylvania,4377.00,4415.00,5388.00,4627.00,3264.00,22071.00
Rhode Island,307.00,317.00,320.00,326.00,310.00,1580.00
South Carolina,1127.00,1125.00,1008.00,879.00,761.00,4900.00
South Dakota,86.00,57.00,73.00,69.00,65.00,350.00
Tennessee,2089.00,1823.00,1776.00,1630.00,1457.00,8775.00
Texas,3136.00,3005.00,2989.00,2831.00,2588.00,14549.00
Utah,571.00,624.00,650.00,635.00,646.00,3126.00
Vermont,133.00,153.00,134.00,125.00,99.00,644.00
Virginia,1547.00,1448.00,1507.00,1405.00,1039.00,6946.00
Washington,1259.00,1164.00,1169.00,1102.00,1094.00,5788.00
West Virginia,870.00,856.00,974.00,884.00,725.00,4309.00
Wisconsin,1201.00,1079.00,1177.00,1074.00,878.00,5409.00
Wyoming,79.00,66.00,69.00,99.00,96.00,409.00
