State,2019,2018,2017,2016,2015,5-Year total,Overdose Rate 2019,Overdose Rate 2018,Overdose Rate 2017,Overdose Rate 2016,Overdose Rate 2015,Poverty Rate 2019,Poverty Rate 2018,Poverty Rate 2017,Poverty Rate 2016,Poverty Rate 2015,Latitude,Longitude
Alabama,768.0,775.0,835.0,756.0,736.0,3870.0,0.01574980774160472,0.025930468869719298,0.027961771068441037,0.02529111545862561,0.024631193063374118,16.323793899000258,20.06834267833973,20.762268017761585,21.59623737785997,21.80479712564686,63.588753000000004,-154.493062
Alaska,132.0,110.0,147.0,128.0,122.0,639.0,0.017908795389299223,0.0018062213488138545,0.0024196335983408227,0.0021123328719756303,0.0020180472977354203,10.437707240037554,13.758973225559936,14.183316050236202,14.815292167816265,15.151432945912363,32.318231,-86.902298
Arizona,1907.0,1670.0,1532.0,1382.0,1274.0,7765.0,0.02704849822681279,0.160309945360227,0.14875779473366335,0.13504125011847867,0.1255544747752782,14.804535240278462,13.349210737502544,14.001681778723752,14.527878396429127,14.840460077323423,35.20105,-91.83183299999999
Arkansas,388.0,444.0,446.0,401.0,392.0,2071.0,0.012936049903813134,0.023310023310023312,0.023549028708166813,0.021315512643394662,0.020969687567703472,16.545474549655427,11.223986223986223,11.633536984911197,12.067503730214712,12.363289138290275,34.048928000000004,-111.093731
California,6198.0,5348.0,4868.0,4654.0,4659.0,25727.0,0.015777617761473732,0.18297216175040174,0.1685756088270178,0.16392103049762394,0.1664739537403221,13.109174063602332,13.460531146152265,14.033988693521717,14.69643262190526,15.233742437387356,36.778261,-119.41793200000001
Colorado,1079.0,995.0,1015.0,942.0,869.0,4900.0,0.019232315137614434,0.07405356566058013,0.07620989782617836,0.0709602916151602,0.0656244784590859,10.086235276985443,7.6176186457203,7.843988202857984,8.262881515145352,8.596882195376685,39.550051,-105.782067
Connecticut,1214.0,1069.0,1072.0,971.0,800.0,5126.0,0.1268218894163268,0.012035787609443759,0.011964070734889698,0.010891198386263137,0.0089843092408225,11.42859530654543,10.179551658467357,10.471374342492282,10.648260728335153,10.610997041579271,41.603221000000005,-73.087749
Delaware,435.0,401.0,338.0,282.0,198.0,1654.0,0.0121675803074286,0.002043993988720721,0.006967964474101128,0.0014316568885008863,0.0010064466465858535,9.626262281563962,14.262006285612836,17.51678238366643,15.065721427898028,15.279400263526364,38.910832,-75.52767
Florida,5268.0,4698.0,5088.0,4728.0,3228.0,23010.0,0.02520376873848535,0.0462600820983526,0.6889034817517754,0.04756143049653409,0.032787108369010984,13.733312550271185,15.005961228970273,9.935482997434214,16.414165902478143,16.936603363238195,27.664827000000002,-81.515754
Georgia,1408.0,1404.0,1537.0,1394.0,1302.0,7045.0,0.013533455461234677,0.18665223789917854,0.022569929335709855,0.18936049402169633,0.1804223712654509,14.69223836144457,10.538406622697922,16.564683479134782,10.773987247372181,11.052325259131978,32.157435,-82.907123
